ticket_id,department,problem_type,priority,sentiment,timestamp,predicted_priority
1,HR,Доступ и учетные записи,2,Нейтральная,2025-01-01 00:00:00,2
2,Бухгалтерия,Оборудование,5,Негативная,2025-01-01 00:02:00,4
3,IT,Оборудование,2,Нейтральная,2025-01-01 00:02:00,2
4,IT,ПО и 1С,5,Негативная,2025-01-01 00:04:00,4
5,Бухгалтерия,Оборудование,4,Негативная,2025-01-01 00:06:00,4
6,IT,ПО и 1С,3,Нейтральная,2025-01-01 00:06:00,3
7,IT,Сетевая инфраструктура,5,Негативная,2025-01-01 00:07:00,5
8,IT,ПО и 1С,3,Позитивная,2025-01-01 00:08:00,2
9,Продажи,ПО и 1С,4,Нейтральная,2025-01-01 00:08:00,4
10,HR,ПО и 1С,4,Негативная,2025-01-01 00:08:00,4
11,IT,ПО и 1С,3,Нейтральная,2025-01-01 00:10:00,3
12,Бухгалтерия,ПО и 1С,4,Нейтральная,2025-01-01 00:10:00,4
13,IT,Доступ и учетные записи,1,Позитивная,2025-01-01 00:15:00,1
14,HR,ПО и 1С,3,Нейтральная,2025-01-01 00:16:00,3
15,IT,ПО и 1С,4,Негативная,2025-01-01 00:18:00,4
16,Бухгалтерия,Доступ и учетные записи,2,Нейтральная,2025-01-01 00:23:00,3
17,HR,Доступ и учетные записи,3,Негативная,2025-01-01 00:26:00,3
18,Продажи,Доступ и учетные записи,3,Нейтральная,2025-01-01 00:28:00,3
19,IT,Доступ и учетные записи,2,Нейтральная,2025-01-01 00:30:00,2
20,Продажи,Доступ и учетные записи,2,Позитивная,2025-01-01 00:31:00,2
21,Продажи,Оборудование,3,Нейтральная,2025-01-01 00:31:00,3
22,IT,Оборудование,2,Нейтральная,2025-01-01 00:32:00,2
23,Продажи,Доступ и учетные записи,3,Нейтральная,2025-01-01 00:35:00,3
24,Продажи,Сетевая инфраструктура,5,Нейтральная,2025-01-01 00:36:00,5
25,IT,ПО и 1С,3,Нейтральная,2025-01-01 00:37:00,3
26,HR,Сетевая инфраструктура,3,Позитивная,2025-01-01 00:38:00,3
27,Бухгалтерия,Сетевая инфраструктура,5,Негативная,2025-01-01 00:39:00,5
28,Бухгалтерия,Доступ и учетные записи,3,Нейтральная,2025-01-01 00:39:00,3
29,IT,ПО и 1С,1,Позитивная,2025-01-01 00:40:00,2
30,Бухгалтерия,Сетевая инфраструктура,5,Нейтральная,2025-01-01 00:41:00,5
31,Продажи,Оборудование,3,Нейтральная,2025-01-01 00:41:00,3
32,IT,ПО и 1С,3,Нейтральная,2025-01-01 00:41:00,3
33,Продажи,Оборудование,3,Нейтральная,2025-01-01 00:42:00,3
34,HR,Доступ и учетные записи,1,Нейтральная,2025-01-01 00:42:00,2
35,Продажи,ПО и 1С,3,Нейтральная,2025-01-01 00:43:00,4
36,IT,ПО и 1С,3,Нейтральная,2025-01-01 00:44:00,3
37,Продажи,Сетевая инфраструктура,5,Нейтральная,2025-01-01 00:45:00,5
38,Продажи,Оборудование,3,Нейтральная,2025-01-01 00:46:00,3
39,Продажи,Доступ и учетные записи,4,Нейтральная,2025-01-01 00:47:00,3
40,Продажи,ПО и 1С,3,Позитивная,2025-01-01 00:49:00,3
41,IT,ПО и 1С,3,Нейтральная,2025-01-01 00:49:00,3
42,Продажи,Доступ и учетные записи,3,Негативная,2025-01-01 00:51:00,4
43,Продажи,Оборудование,4,Негативная,2025-01-01 00:52:00,4
44,HR,Доступ и учетные записи,1,Нейтральная,2025-01-01 00:53:00,2
45,Продажи,Оборудование,4,Негативная,2025-01-01 00:53:00,4
46,Бухгалтерия,Оборудование,3,Нейтральная,2025-01-01 00:54:00,3
47,IT,Оборудование,2,Нейтральная,2025-01-01 00:57:00,2
48,HR,Оборудование,2,Нейтральная,2025-01-01 00:57:00,2
49,IT,ПО и 1С,5,Негативная,2025-01-01 00:59:00,4
50,Бухгалтерия,Сетевая инфраструктура,5,Нейтральная,2025-01-01 00:59:00,5
51,Продажи,Оборудование,3,Нейтральная,2025-01-01 01:00:00,3
52,HR,Доступ и учетные записи,2,Нейтральная,2025-01-01 01:01:00,2
53,IT,Сетевая инфраструктура,4,Негативная,2025-01-01 01:01:00,5
54,IT,Оборудование,2,Нейтральная,2025-01-01 01:02:00,2
55,IT,ПО и 1С,3,Нейтральная,2025-01-01 01:02:00,3
56,IT,ПО и 1С,4,Негативная,2025-01-01 01:03:00,4
57,HR,Доступ и учетные записи,2,Нейтральная,2025-01-01 01:03:00,2
58,Бухгалтерия,ПО и 1С,5,Негативная,2025-01-01 01:04:00,5
59,Бухгалтерия,ПО и 1С,4,Нейтральная,2025-01-01 01:04:00,4
60,Бухгалтерия,Сетевая инфраструктура,5,Негативная,2025-01-01 01:05:00,5
61,Продажи,ПО и 1С,5,Негативная,2025-01-01 01:06:00,5
62,HR,Доступ и учетные записи,2,Нейтральная,2025-01-01 01:08:00,2
63,IT,Оборудование,3,Негативная,2025-01-01 01:09:00,3
64,IT,Оборудование,1,Позитивная,2025-01-01 01:09:00,1
65,IT,ПО и 1С,4,Негативная,2025-01-01 01:11:00,4
66,HR,Оборудование,1,Позитивная,2025-01-01 01:12:00,1
67,Продажи,Доступ и учетные записи,3,Нейтральная,2025-01-01 01:13:00,3
68,Продажи,Доступ и учетные записи,4,Негативная,2025-01-01 01:14:00,4
69,IT,Доступ и учетные записи,1,Позитивная,2025-01-01 01:14:00,1
70,HR,ПО и 1С,3,Нейтральная,2025-01-01 01:16:00,3
71,Бухгалтерия,Оборудование,3,Нейтральная,2025-01-01 01:21:00,3
72,Бухгалтерия,Сетевая инфраструктура,4,Позитивная,2025-01-01 01:24:00,4
73,HR,ПО и 1С,3,Нейтральная,2025-01-01 01:24:00,3
74,Бухгалтерия,Оборудование,2,Нейтральная,2025-01-01 01:25:00,3
75,HR,Доступ и учетные записи,3,Негативная,2025-01-01 01:26:00,3
76,Бухгалтерия,Сетевая инфраструктура,3,Позитивная,2025-01-01 01:26:00,4
77,IT,Доступ и учетные записи,3,Нейтральная,2025-01-01 01:27:00,2
78,Продажи,Оборудование,4,Негативная,2025-01-01 01:32:00,4
79,HR,ПО и 1С,3,Нейтральная,2025-01-01 01:35:00,3
80,HR,Сетевая инфраструктура,4,Нейтральная,2025-01-01 01:35:00,4
81,HR,Оборудование,2,Нейтральная,2025-01-01 01:37:00,2
82,Продажи,Доступ и учетные записи,4,Негативная,2025-01-01 01:41:00,4
83,IT,Доступ и учетные записи,1,Позитивная,2025-01-01 01:45:00,1
84,IT,ПО и 1С,3,Нейтральная,2025-01-01 01:50:00,3
85,Бухгалтерия,Доступ и учетные записи,3,Нейтральная,2025-01-01 01:51:00,3
86,Продажи,Оборудование,4,Негативная,2025-01-01 01:51:00,4
87,Продажи,Оборудование,3,Нейтральная,2025-01-01 01:55:00,3
88,HR,ПО и 1С,5,Негативная,2025-01-01 01:56:00,4
89,IT,Доступ и учетные записи,3,Негативная,2025-01-01 01:56:00,3
90,HR,ПО и 1С,4,Нейтральная,2025-01-01 01:56:00,3
91,Бухгалтерия,Доступ и учетные записи,3,Нейтральная,2025-01-01 01:57:00,3
92,Бухгалтерия,ПО и 1С,5,Негативная,2025-01-01 01:59:00,5
93,Продажи,Доступ и учетные записи,4,Нейтральная,2025-01-01 01:59:00,3
94,Продажи,ПО и 1С,5,Нейтральная,2025-01-01 02:00:00,4
95,Продажи,Доступ и учетные записи,4,Негативная,2025-01-01 02:02:00,4
96,IT,Сетевая инфраструктура,5,Негативная,2025-01-01 02:02:00,5
97,HR,Доступ и учетные записи,2,Нейтральная,2025-01-01 02:05:00,2
98,Бухгалтерия,Сетевая инфраструктура,5,Негативная,2025-01-01 02:05:00,5
99,Бухгалтерия,Сетевая инфраструктура,5,Нейтральная,2025-01-01 02:05:00,5
100,HR,ПО и 1С,2,Нейтральная,2025-01-01 02:06:00,3
101,HR,Сетевая инфраструктура,5,Негативная,2025-01-01 02:07:00,5
102,IT,Сетевая инфраструктура,4,Позитивная,2025-01-01 02:07:00,3
103,HR,Сетевая инфраструктура,4,Нейтральная,2025-01-01 02:09:00,4
104,HR,ПО и 1С,3,Нейтральная,2025-01-01 02:12:00,3
105,IT,Сетевая инфраструктура,4,Нейтральная,2025-01-01 02:13:00,4
106,Продажи,ПО и 1С,3,Нейтральная,2025-01-01 02:16:00,4
107,Продажи,Сетевая инфраструктура,5,Нейтральная,2025-01-01 02:16:00,5
108,Бухгалтерия,ПО и 1С,4,Нейтральная,2025-01-01 02:19:00,4
109,Бухгалтерия,ПО и 1С,4,Нейтральная,2025-01-01 02:19:00,4
110,IT,Доступ и учетные записи,3,Негативная,2025-01-01 02:21:00,3
111,Продажи,Оборудование,4,Нейтральная,2025-01-01 02:21:00,3
112,Бухгалтерия,Сетевая инфраструктура,5,Негативная,2025-01-01 02:22:00,5
113,Бухгалтерия,ПО и 1С,3,Нейтральная,2025-01-01 02:23:00,4
114,Бухгалтерия,Доступ и учетные записи,5,Негативная,2025-01-01 02:27:00,4
115,Продажи,ПО и 1С,4,Нейтральная,2025-01-01 02:29:00,4
116,IT,Сетевая инфраструктура,5,Негативная,2025-01-01 02:31:00,5
117,IT,Сетевая инфраструктура,3,Нейтральная,2025-01-01 02:36:00,4
118,Бухгалтерия,ПО и 1С,5,Негативная,2025-01-01 02:36:00,5
119,Бухгалтерия,ПО и 1С,4,Нейтральная,2025-01-01 02:37:00,4
120,HR,Доступ и учетные записи,3,Нейтральная,2025-01-01 02:37:00,2
121,HR,Сетевая инфраструктура,4,Нейтральная,2025-01-01 02:38:00,4
122,Бухгалтерия,Сетевая инфраструктура,5,Нейтральная,2025-01-01 02:40:00,5
123,Продажи,Сетевая инфраструктура,5,Нейтральная,2025-01-01 02:41:00,5
124,IT,Доступ и учетные записи,3,Негативная,2025-01-01 02:45:00,3
125,Продажи,Оборудование,2,Позитивная,2025-01-01 02:45:00,2
126,HR,Оборудование,3,Негативная,2025-01-01 02:47:00,3
127,Бухгалтерия,Сетевая инфраструктура,5,Нейтральная,2025-01-01 02:48:00,5
128,Бухгалтерия,Сетевая инфраструктура,4,Нейтральная,2025-01-01 02:49:00,5
129,Продажи,Доступ и учетные записи,3,Нейтральная,2025-01-01 02:51:00,3
130,Бухгалтерия,Сетевая инфраструктура,5,Нейтральная,2025-01-01 02:53:00,5
131,IT,Сетевая инфраструктура,5,Негативная,2025-01-01 02:56:00,5
132,IT,Оборудование,2,Нейтральная,2025-01-01 02:56:00,2
133,Продажи,ПО и 1С,4,Негативная,2025-01-01 02:58:00,5
134,Бухгалтерия,Доступ и учетные записи,4,Нейтральная,2025-01-01 02:58:00,3
135,Бухгалтерия,ПО и 1С,4,Нейтральная,2025-01-01 02:59:00,4
136,Бухгалтерия,ПО и 1С,5,Негативная,2025-01-01 03:04:00,5
137,Продажи,Доступ и учетные записи,2,Позитивная,2025-01-01 03:06:00,2
138,IT,Сетевая инфраструктура,5,Негативная,2025-01-01 03:06:00,5
139,IT,ПО и 1С,4,Негативная,2025-01-01 03:07:00,4
140,Бухгалтерия,Сетевая инфраструктура,5,Негативная,2025-01-01 03:10:00,5
141,Продажи,ПО и 1С,4,Нейтральная,2025-01-01 03:10:00,4
142,Бухгалтерия,ПО и 1С,4,Нейтральная,2025-01-01 03:10:00,4
143,IT,Сетевая инфраструктура,5,Негативная,2025-01-01 03:12:00,5
144,IT,Доступ и учетные записи,3,Нейтральная,2025-01-01 03:13:00,2
145,IT,Доступ и учетные записи,1,Нейтральная,2025-01-01 03:13:00,2
146,Бухгалтерия,Сетевая инфраструктура,5,Негативная,2025-01-01 03:17:00,5
147,HR,ПО и 1С,5,Негативная,2025-01-01 03:20:00,4
148,IT,Оборудование,3,Негативная,2025-01-01 03:21:00,3
149,Продажи,Доступ и учетные записи,3,Нейтральная,2025-01-01 03:21:00,3
150,IT,Оборудование,1,Позитивная,2025-01-01 03:24:00,1
151,HR,Оборудование,3,Негативная,2025-01-01 03:24:00,3
152,Бухгалтерия,ПО и 1С,5,Негативная,2025-01-01 03:25:00,5
153,IT,Сетевая инфраструктура,4,Нейтральная,2025-01-01 03:28:00,4
154,IT,ПО и 1С,4,Негативная,2025-01-01 03:28:00,4
155,HR,Сетевая инфраструктура,5,Негативная,2025-01-01 03:29:00,5
156,Продажи,Доступ и учетные записи,4,Негативная,2025-01-01 03:32:00,4
157,IT,Оборудование,2,Нейтральная,2025-01-01 03:32:00,2
158,IT,ПО и 1С,3,Нейтральная,2025-01-01 03:34:00,3
159,Продажи,Оборудование,3,Нейтральная,2025-01-01 03:35:00,3
160,IT,ПО и 1С,3,Нейтральная,2025-01-01 03:35:00,3
161,Продажи,ПО и 1С,3,Позитивная,2025-01-01 03:36:00,3
162,IT,Сетевая инфраструктура,5,Негативная,2025-01-01 03:40:00,5
163,IT,Доступ и учетные записи,1,Позитивная,2025-01-01 03:44:00,1
164,IT,ПО и 1С,4,Негативная,2025-01-01 03:47:00,4
165,Бухгалтерия,ПО и 1С,4,Нейтральная,2025-01-01 03:47:00,4
166,Бухгалтерия,Оборудование,2,Нейтральная,2025-01-01 03:50:00,3
